track_id,x,y
1,59,351
1,60,353
1,60,351
1,59,351
1,58,352
1,59,352
1,59,351
1,60,351
1,60,350
1,61,350
1,62,351
1,62,353
1,62,354
1,61,354
1,62,356
1,65,358
1,69,356
1,74,355
1,79,354
1,79,353
1,76,351
1,75,349
1,76,347
1,77,345
1,78,344
1,80,343
1,82,342
1,84,343
1,85,344
1,86,346
1,87,346
1,88,345
1,91,342
1,92,342
1,93,344
1,94,344
1,97,344
1,101,346
1,101,344
1,101,344
1,102,344
1,103,344
1,105,345
1,106,344
1,110,345
1,114,345
1,116,342
1,118,341
1,121,342
1,125,341
1,128,339
1,131,339
1,134,342
1,138,339
1,143,338
1,151,338
1,155,338
1,158,337
1,159,337
1,160,338
1,163,338
1,165,338
1,165,338
1,166,337
1,169,336
1,171,336
1,172,336
1,177,335
1,182,335
1,186,335
1,190,331
1,194,331
1,197,332
1,202,331
1,206,331
1,211,330
1,216,330
1,219,330
1,222,329
1,223,329
1,224,329
1,226,330
1,227,330
1,229,330
1,231,329
1,235,329
1,237,328
1,241,328
1,247,328
1,249,327
1,251,326
1,255,325
1,258,323
1,261,323
1,265,323
1,265,324
1,265,329
1,267,333
1,341,318
1,358,318
1,369,314
1,376,313
1,386,312
1,395,312
1,403,312
1,409,312
1,414,313
1,421,313
1,425,313
1,433,312
1,438,314
1,440,314
1,442,316
1,444,318
1,444,318
1,443,319
1,441,319
1,440,319
1,440,319
1,438,322
1,437,323
1,440,323
1,444,324
1,446,326
1,448,328
1,450,329
1,453,328
1,457,329
1,461,330
1,466,331
1,468,331
1,469,331
1,469,332
1,468,330
1,467,328
1,466,328
1,467,326
1,469,326
1,471,325
1,474,323
1,475,324
1,478,323
1,478,323
1,479,323
1,480,323
1,482,324
1,484,325
1,486,326
1,487,328
1,488,329
1,489,330
1,490,330
1,491,332
1,492,334
1,493,337
1,494,337
1,496,336
1,496,336
1,496,339
1,495,343
1,495,345
1,494,345
1,495,344
1,495,343
1,496,342
1,495,342
1,495,341
1,493,342
1,492,344
1,492,345
1,491,344
1,491,343
1,491,342
1,490,344
1,491,346
1,493,347
1,493,347
1,492,347
1,494,346
1,498,344
1,503,341
1,505,337
1,504,336
1,503,336
1,504,336
1,506,335
1,505,335
1,504,335
1,504,336
1,503,336
1,501,336
1,497,336
1,495,336
1,494,336
1,492,336
1,491,337
1,489,341
1,489,343
1,488,344
1,487,347
1,483,349
1,481,351
1,478,353
1,475,353
1,473,353
1,474,354
1,473,355
1,472,357
1,471,358
1,470,359
1,469,360
1,468,360
1,465,361
1,461,361
1,457,362
1,454,362
1,453,363
1,453,365
1,452,365
1,451,365
1,446,362
1,442,360
1,438,356
1,434,355
1,431,355
1,426,356
1,420,358
1,416,361
1,414,364
1,412,368
1,411,370
1,408,371
1,402,372
1,396,370
1,395,369
1,394,368
1,395,368
1,397,369
1,396,369
1,393,369
1,388,369
1,385,368
1,382,368
1,377,370
1,370,372
1,364,372
1,358,371
1,354,374
1,352,379
1,344,383
1,339,382
1,338,382
1,334,382
1,328,384
1,325,386
1,324,387
1,325,390
1,318,394
1,312,397
1,309,399
1,306,402
1,304,406
1,300,404
1,298,400
1,296,395
1,295,395
1,295,390
1,294,385
1,290,379
1,286,376
1,284,380
1,283,379
1,279,374
1,276,375
1,275,377
1,273,377
1,272,380
1,269,377
1,265,377
1,260,377
1,259,382
1,256,372
1,252,368
1,247,363
1,243,359
1,240,357
1,239,356
1,238,356
1,236,357
1,234,356
1,234,354
1,235,350
1,233,347
1,232,345
1,234,343
1,236,340
1,237,341
1,236,342
1,233,344
1,230,345
1,228,347
1,226,348
1,226,347
1,224,346
1,223,347
1,220,345
1,216,346
1,212,346
1,212,345
1,213,341
1,214,338
1,214,336
1,217,334
1,221,331
1,224,330
1,226,328
