track_id,x,y
2,286,467
2,293,463
2,301,458
2,311,452
2,319,446
2,321,444
2,321,445
2,321,444
2,317,443
2,307,444
2,300,443
2,294,439
2,292,439
2,292,440
2,293,442
2,293,444
2,291,445
2,287,446
2,283,448
2,277,448
2,267,448
2,257,447
2,242,446
2,230,445
2,216,447
2,202,451
2,192,452
2,186,452
2,179,453
2,171,453
2,163,453
2,156,452
2,149,453
2,142,454
2,136,456
2,127,452
2,120,454
2,115,454
2,113,454
2,110,450
2,108,450
2,108,450
2,107,452
2,105,451
2,106,450
2,106,449
2,105,450
2,104,449
2,103,449
2,104,449
2,104,449
2,105,449
2,105,451
2,106,451
2,106,451
2,106,452
2,105,452
2,105,455
2,105,456
2,105,459
2,105,459
2,106,460
2,107,460
2,106,461
2,106,462
2,106,463
2,107,463
2,108,463
2,112,462
2,113,462
2,112,461
2,112,461
2,110,459
2,109,458
2,108,454
2,109,448
2,108,443
2,107,439
2,106,437
2,106,437
2,109,437
2,110,435
2,112,434
2,122,431
2,137,427
2,147,423
2,147,418
2,146,418
2,150,415
2,158,410
2,167,403
2,174,399
2,180,391
2,187,390
2,193,388
2,198,386
2,204,385
2,210,384
2,218,385
2,225,385
2,231,385
2,235,385
2,238,383
2,238,381
2,235,382
2,233,380
2,234,372
2,237,369
2,239,367
2,243,365
2,249,365
2,252,366
2,254,366
2,256,367
2,259,367
2,261,366
2,265,366
2,269,366
2,271,366
2,272,364
2,274,362
2,276,359
2,279,357
2,281,352
2,281,345
2,281,344
2,280,334
2,282,330
2,285,333
2,288,337
2,291,341
2,293,341
2,298,344
2,303,348
2,307,351
2,313,351
2,316,349
2,317,346
2,317,342
2,320,336
2,324,334
2,328,333
2,334,333
2,337,334
2,336,333
2,336,334
2,339,335
2,342,335
2,339,381
3,368,336
3,372,337
3,374,338
3,376,338
3,380,340
3,384,343
3,389,346
3,389,349
3,389,354
3,391,355
3,396,355
3,399,355
3,403,355
3,406,354
3,409,350
3,411,347
3,415,342
3,419,338
3,422,336
3,423,333
3,427,331
3,433,329
3,440,327
3,444,326
3,448,326
3,452,323
3,455,321
3,462,319
3,465,317
3,466,318
3,468,317
3,469,316
3,470,316
3,469,317
3,467,317
3,469,319
3,471,320
3,473,321
3,476,322
3,479,318
3,485,314
3,490,312
3,493,313
3,496,311
3,502,309
3,511,307
3,517,307
3,519,308
3,519,309
3,519,310
3,518,313
3,519,314
3,522,315
3,525,315
3,525,318
3,525,318
3,523,319
3,523,320
3,524,321
3,526,321
3,530,322
3,534,322
3,539,321
3,543,318
3,547,317
3,550,317
3,551,318
3,552,320
3,551,322
3,549,324
3,547,324
3,545,327
3,542,328
3,540,331
3,540,334
3,542,337
3,544,338
3,545,341
3,546,344
3,546,346
3,545,346
3,545,350
3,547,351
3,548,352
3,550,353
3,553,354
3,556,353
3,557,353
3,557,353
3,557,352
3,556,352
3,553,352
3,549,351
3,546,351
3,544,353
3,547,355
3,544,357
3,544,358
3,546,360
3,550,361
3,551,361
3,551,361
3,551,362
3,550,361
3,550,361
3,548,361
3,546,361
3,544,362
3,541,361
3,542,363
3,544,364
3,548,366
3,552,366
3,556,366
3,557,366
3,556,369
3,551,369
3,549,373
3,548,375
3,550,377
3,551,376
3,552,375
3,551,375
3,548,377
3,545,376
3,542,373
3,541,372
3,541,371
3,540,373
3,539,375
3,538,378
3,539,379
3,542,380
3,544,384
3,545,386
3,546,388
3,545,390
3,546,389
3,546,392
3,547,401
3,547,404
3,547,406
3,547,405
3,548,403
3,546,402
3,544,401
3,542,402
3,540,401
3,538,401
3,537,401
3,536,401
3,535,404
3,534,408
3,534,411
3,536,414
3,539,414
3,539,415
3,539,416
3,536,415
3,535,416
3,534,414
3,534,412
3,535,409
3,534,408
3,534,405
3,535,404
3,535,406
3,537,414
3,537,419
3,537,424
3,536,429
3,532,434
3,528,438
3,527,442
3,529,446
3,530,450
3,531,453
3,531,454
3,528,456
3,523,458
3,519,458
3,517,453
3,512,450
3,509,446
3,498,445
3,492,451
3,485,462
3,478,468
3,472,473
3,465,474
3,461,474
3,458,476
3,458,476
3,457,475
3,457,473
3,456,471
3,458,468
3,461,469
3,466,469
3,472,468
3,478,467
3,483,473
3,488,475
3,493,473
3,499,474
3,505,477
3,509,477
3,514,475
3,519,474
3,526,476
3,533,474
3,538,475
3,545,475
3,552,476
3,562,478
3,573,477
3,585,476
3,591,473
3,598,476
3,605,476
3,610,478
3,617,475
3,629,475
3,639,473
3,654,475
3,667,474
3,679,475
3,693,475
3,704,473
3,716,472
3,729,474
3,743,476
3,755,476
3,761,478
3,766,473
3,772,472
3,778,473
3,785,473
3,794,473
3,802,474
3,809,474
3,817,475
